year,gender,ethnicity,name,count
2013,MALE,HISPANIC,Jared,25
2013,MALE,HISPANIC,Jariel,25
2013,MALE,HISPANIC,Jason,71
2013,MALE,HISPANIC,Javier,36
2013,MALE,HISPANIC,Jaxon,14
2013,MALE,HISPANIC,Jay,10
2012,FEMALE,ASIAN AND PACI,ABBY,11
2012,FEMALE,ASIAN AND PACI,ABIGAIL,29
2012,FEMALE,ASIAN AND PACI,ADA,12
2012,FEMALE,ASIAN AND PACI,AISHA,11
2012,FEMALE,ASIAN AND PACI,ALEXANDRA,12
2012,FEMALE,ASIAN AND PACI,ALEXIS,18
2012,FEMALE,ASIAN AND PACI,ALICE,37
2012,FEMALE,ASIAN AND PACI,ALINA,30
2012,FEMALE,ASIAN AND PACI,ALISHA,13
2012,FEMALE,ASIAN AND PACI,ALLISON,16
2012,FEMALE,ASIAN AND PACI,ALYSSA,18
2012,FEMALE,ASIAN AND PACI,AMANDA,22
2012,FEMALE,ASIAN AND PACI,AMAYA,11
2012,FEMALE,ASIAN AND PACI,AMBER,19
2012,FEMALE,ASIAN AND PACI,AMELIA,20
2012,FEMALE,ASIAN AND PACI,AMINA,18
2012,FEMALE,ASIAN AND PACI,AMY,23
2012,FEMALE,ASIAN AND PACI,ANAYA,12
2012,FEMALE,ASIAN AND PACI,ANGEL,14
2012,FEMALE,ASIAN AND PACI,ANGELA,52
2012,FEMALE,ASIAN AND PACI,ANGELINA,17
2012,FEMALE,ASIAN AND PACI,ANISHA,14
2012,FEMALE,ASIAN AND PACI,ANNA,39
2012,FEMALE,ASIAN AND PACI,ANNABELLE,12
2012,FEMALE,ASIAN AND PACI,ANNIE,25
2012,FEMALE,ASIAN AND PACI,ANYA,19
2012,FEMALE,ASIAN AND PACI,ARIA,22
2012,FEMALE,ASIAN AND PACI,ARIANA,18
2012,FEMALE,ASIAN AND PACI,ARIANNA,21
2012,FEMALE,ASIAN AND PACI,ARIEL,12
2012,FEMALE,ASIAN AND PACI,ARISHA,11
2012,FEMALE,ASIAN AND PACI,ARYA,13
2012,FEMALE,ASIAN AND PACI,ASHLEY,45
2012,FEMALE,ASIAN AND PACI,ATHENA,10
2012,FEMALE,ASIAN AND PACI,AUDREY,35
2012,FEMALE,ASIAN AND PACI,AVA,47
2012,FEMALE,ASIAN AND PACI,AVERY,21
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,31
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Aisha,18
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Aiza,19
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Aleena,17
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Alexandra,11
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Alice,24
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Alicia,12
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Alina,41
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Alisa,11
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Alisha,11
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Allison,15
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Alyssa,22
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Amanda,15
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Amber,17
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Amelia,27
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Amina,10
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Amy,31
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Anaya,32
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Anayah,10
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Angel,16
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Angela,77
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Angelina,38
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Anna,41
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Annabelle,13
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Anne,14
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Annie,30
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Anya,10
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Aria,26
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Ariana,30
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Arianna,13
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Ariel,14
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Arisha,10
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Arya,28
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Ashley,33
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Athena,12
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Audrey,31
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Ava,35
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Avery,17
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Ayesha,28
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Bella,29
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Carina,18
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Caroline,15
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Catherine,19
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Cecilia,10
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Celine,12
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,31
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Chelsea,13
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,111
2012,FEMALE,ASIAN AND PACI,AYESHA,19
2012,FEMALE,ASIAN AND PACI,BELLA,19
2012,FEMALE,ASIAN AND PACI,BONNIE,12
2012,FEMALE,ASIAN AND PACI,BRIANNA,10
2012,FEMALE,ASIAN AND PACI,CAROLINE,11
2012,FEMALE,ASIAN AND PACI,CATHERINE,26
2012,FEMALE,ASIAN AND PACI,CECILIA,12
2012,FEMALE,ASIAN AND PACI,CHARLOTTE,22
2012,FEMALE,ASIAN AND PACI,CHELSEA,18
2012,FEMALE,ASIAN AND PACI,CHLOE,172
2012,FEMALE,ASIAN AND PACI,CHRISTINA,18
2012,FEMALE,ASIAN AND PACI,CHRISTINE,14
2012,FEMALE,ASIAN AND PACI,CINDY,15
2012,FEMALE,ASIAN AND PACI,CLAIRE,27
2012,FEMALE,ASIAN AND PACI,CONNIE,15
2012,FEMALE,ASIAN AND PACI,CRYSTAL,17
2012,FEMALE,ASIAN AND PACI,CYNTHIA,19
2012,FEMALE,ASIAN AND PACI,DAPHNE,11
2012,FEMALE,ASIAN AND PACI,DIYA,11
2012,FEMALE,ASIAN AND PACI,DORIS,13
2012,FEMALE,ASIAN AND PACI,EILEEN,15
2012,FEMALE,ASIAN AND PACI,ELAINE,21
2012,FEMALE,ASIAN AND PACI,ELEANOR,15
2012,FEMALE,ASIAN AND PACI,ELENA,11
2012,FEMALE,ASIAN AND PACI,ELINA,14
2012,FEMALE,ASIAN AND PACI,ELIZABETH,31
2012,FEMALE,ASIAN AND PACI,ELLA,52
2012,FEMALE,ASIAN AND PACI,ELLIE,17
2012,FEMALE,ASIAN AND PACI,EMILY,110
2012,FEMALE,ASIAN AND PACI,EMMA,97
2012,FEMALE,ASIAN AND PACI,ERICA,23
2012,FEMALE,ASIAN AND PACI,ERIN,16
2012,FEMALE,ASIAN AND PACI,ESTHER,16
2012,FEMALE,ASIAN AND PACI,EVA,28
2012,FEMALE,ASIAN AND PACI,EVELYN,37
2012,FEMALE,ASIAN AND PACI,FAITH,10
2012,FEMALE,ASIAN AND PACI,FATIMA,33
2012,FEMALE,ASIAN AND PACI,FIONA,49
2012,FEMALE,ASIAN AND PACI,GABRIELLA,15
2012,FEMALE,ASIAN AND PACI,GRACE,51
2012,FEMALE,ASIAN AND PACI,HAFSA,11
2012,FEMALE,ASIAN AND PACI,HAILEY,50
2012,FEMALE,ASIAN AND PACI,HANNAH,46
2012,FEMALE,ASIAN AND PACI,HAREEM,11
2012,FEMALE,ASIAN AND PACI,HAZEL,10
2012,FEMALE,ASIAN AND PACI,HELEN,12
2012,FEMALE,ASIAN AND PACI,IRENE,23
2012,FEMALE,ASIAN AND PACI,IRIS,21
2012,FEMALE,ASIAN AND PACI,ISABELLA,64
2012,FEMALE,ASIAN AND PACI,ISABELLE,17
2012,FEMALE,ASIAN AND PACI,IVY,35
2012,FEMALE,ASIAN AND PACI,JANICE,14
2012,FEMALE,ASIAN AND PACI,JANNAT,18
2012,FEMALE,ASIAN AND PACI,JASMINE,26
2012,FEMALE,ASIAN AND PACI,JENNIFER,23
2012,FEMALE,ASIAN AND PACI,JENNY,26
2012,FEMALE,ASIAN AND PACI,JESSICA,40
2012,FEMALE,ASIAN AND PACI,JOANNA,37
2012,FEMALE,ASIAN AND PACI,JOCELYN,19
2012,FEMALE,ASIAN AND PACI,JOLIN,10
2012,FEMALE,ASIAN AND PACI,JOY,14
2012,FEMALE,ASIAN AND PACI,JOYCE,28
2012,FEMALE,ASIAN AND PACI,JUDY,10
2012,FEMALE,ASIAN AND PACI,JULIA,10
2012,FEMALE,ASIAN AND PACI,KAITLYN,20
2012,FEMALE,ASIAN AND PACI,KAREN,13
2012,FEMALE,ASIAN AND PACI,KATE,17
2012,FEMALE,ASIAN AND PACI,KATELYN,12
2012,FEMALE,ASIAN AND PACI,KATHERINE,37
2012,FEMALE,ASIAN AND PACI,KATIE,12
2012,FEMALE,ASIAN AND PACI,KAYLA,17
2012,FEMALE,ASIAN AND PACI,KAYLEE,24
2012,FEMALE,ASIAN AND PACI,KELLY,13
2012,FEMALE,ASIAN AND PACI,KHLOE,12
2012,FEMALE,ASIAN AND PACI,KIMBERLY,13
2012,FEMALE,ASIAN AND PACI,KYLIE,15
2012,FEMALE,ASIAN AND PACI,LAUREN,12
2012,FEMALE,ASIAN AND PACI,LAYLA,13
2012,FEMALE,ASIAN AND PACI,LEAH,16
2012,FEMALE,ASIAN AND PACI,LILLIAN,16
2012,FEMALE,ASIAN AND PACI,LILY,22
2012,FEMALE,ASIAN AND PACI,LINDA,17
2012,FEMALE,ASIAN AND PACI,LYDIA,13
2012,FEMALE,ASIAN AND PACI,MADELEINE,10
2012,FEMALE,ASIAN AND PACI,MADISON,20
2012,FEMALE,ASIAN AND PACI,MAGGIE,16
2012,FEMALE,ASIAN AND PACI,MANDY,15
2012,FEMALE,ASIAN AND PACI,MANHA,15
2012,FEMALE,ASIAN AND PACI,MARYAM,13
2012,FEMALE,ASIAN AND PACI,MAYA,28
2012,FEMALE,ASIAN AND PACI,MEGAN,19
2012,FEMALE,ASIAN AND PACI,MELANIE,11
2012,FEMALE,ASIAN AND PACI,MELODY,26
2012,FEMALE,ASIAN AND PACI,MIA,49
2012,FEMALE,ASIAN AND PACI,MICHELLE,48
2012,FEMALE,ASIAN AND PACI,MILA,14
2012,FEMALE,ASIAN AND PACI,MIRANDA,11
2012,FEMALE,ASIAN AND PACI,NATALIE,29
2012,FEMALE,ASIAN AND PACI,NICOLE,32
2012,FEMALE,ASIAN AND PACI,NINA,17
2012,FEMALE,ASIAN AND PACI,OLIVIA,132
2012,FEMALE,ASIAN AND PACI,PENELOPE,10
2012,FEMALE,ASIAN AND PACI,PHOEBE,22
2012,FEMALE,ASIAN AND PACI,QUEENIE,20
2012,FEMALE,ASIAN AND PACI,RACHEL,24
2012,FEMALE,ASIAN AND PACI,REBECCA,14
2012,FEMALE,ASIAN AND PACI,RILEY,10
2012,FEMALE,ASIAN AND PACI,SABRINA,22
2012,FEMALE,ASIAN AND PACI,SAMANTHA,34
2012,FEMALE,ASIAN AND PACI,SARA,24
2012,FEMALE,ASIAN AND PACI,SARAH,47
2012,FEMALE,ASIAN AND PACI,SAVANNAH,11
2012,FEMALE,ASIAN AND PACI,SELENA,22
2012,FEMALE,ASIAN AND PACI,SELINA,41
2012,FEMALE,ASIAN AND PACI,SERENA,22
2012,FEMALE,ASIAN AND PACI,SHARON,14
